basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
11	88	88	11437	21437	1	5	5	5	7	2	1	1988	19	-9	0	-9
11	88	88	11437	21437	1	6	5	5	7	2	9	1989	18	-9	0	-9
11	88	88	11437	21437	1	7	4	4	6	1	3	1992	15	-9	0	-9
11	88	88	11437	21437	1	8	18	3	11	2	6	1925	82	-9	0	-9
11	88	88	11437	21437	1	9	21	6	12	1	5	1959	48	-9	0	-9
11	38	38	11400	21400	2	1	0	1	2	1	1	1960	47	-9	0	-9
11	38	38	11400	21400	2	2	1	0	3	2	8	1957	50	5	0	0
11	38	38	11400	21400	2	3	5	5	7	2	8	1988	19	-9	0	-9
11	38	38	11400	21400	2	4	4	4	6	1	2	1993	14	-9	0	-9
11	38	38	11400	21400	2	5	9	9	16	2	1	2000	7	-9	0	-9
11	55	55	11414	21414	1	1	0	1	2	1	6	1953	54	-9	0	-9
11	55	55	11414	21414	1	2	1	0	3	2	6	1959	48	5	0	0
11	55	55	11414	21414	1	3	5	5	7	2	10	1978	29	-9	0	-9
11	55	55	11414	21414	1	4	5	5	7	2	1	1982	25	-9	0	-9
11	55	55	11414	21414	1	5	4	4	34	1	8	1983	24	8	0	0
11	55	55	11414	21414	1	6	5	5	7	2	2	1990	17	-9	0	-9
11	55	55	11414	21414	1	7	5	5	7	2	6	1993	14	-9	0	-9
11	55	55	11414	21414	1	8	5	5	7	2	8	1980	27	-9	0	-9
11	55	55	11414	21414	1	9	8	8	15	1	1	2007	0	-9	0	-9
11	125	125	11469	21469	2	1	0	1	2	1	7	1953	54	-9	0	-9
11	125	125	11469	21469	2	2	1	0	3	2	8	1954	53	12	0	0
11	125	125	11469	21469	2	3	4	4	6	1	3	1975	32	-9	0	-9
11	125	125	11469	21469	2	4	8	8	15	1	6	1996	11	-9	0	-9
11	125	125	11469	21469	2	5	5	5	7	2	9	1981	26	-9	0	-9
11	125	125	11469	21469	2	6	19	19	21	1	6	1974	33	-9	0	-9
11	125	125	11469	21469	2	7	9	9	16	2	7	1998	9	-9	0	-9
11	125	125	11469	21469	2	8	8	8	15	1	4	2004	3	-9	0	-9
11	82	82	11432	21432	1	1	0	1	2	1	8	1960	47	-9	0	-9
